Year,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
1967,Nalanda,88,GEN,Uttar PradeBihar,S. Prasad,Indian National Congress,"5,94,698","3,29,789",0.555
1967,Nalgonda,40,GEN,Andhra Pradesh,M. Y. Salim,Indian National Congress,"5,06,698","3,24,498",0.64
1967,Nandeo,250,GEN,Maharashtra,V. B. Tarodekar,Indian National Congress,"5,55,017","3,05,704",0.551
1967,Nandurbar,236,ST,Maharashtra,T. H. Gavit,Indian National Congress,"4,77,176","2,77,257",0.581
1967,Nandyal,27,GEN,Andhra Pradesh,P. V.Subbaiah,Indian National Congress,"5,36,794","4,09,857",0.764
1967,Narasapur,10,GEN,Andhra Pradesh,D. Balaramarajau,Indian National Congress,"5,44,802","4,27,350",0.784
1967,Narasaraopet,17,GEN,Andhra Pradesh,M. Sudarsanam,Indian National Congress,"5,84,076","4,17,272",0.714
1967,Nasik,234,GEN,Maharashtra,B. R. Kavade,Indian National Congress,"4,36,875","2,87,435",0.658
1967,Nawada,97,GEN,Uttar PradeBihar,M. S. P. N. Puri,Independent,"5,72,864","3,14,878",0.55
1967,Nellore,19,SC,Andhra Pradesh,B. Anjanappa,Indian National Congress,"5,62,683","4,14,702",0.737
1967,New Delhi,500,GEN,Delhi,M.L Sondhi,Bhartiya Jan Sangh,"2,08,755","1,52,918",0.733
1967,Nilgiris,201,GEN,Madras,M. K. N. Gowder,Swatantra,"5,02,089","3,63,063",0.723
1967,Nizamabad,34,GEN,Andhra Pradesh,M.N. Reddy,Independent,"5,07,608","2,92,527",0.576
1967,Nowgong,51,GEN,Assam,L. Keteki,Indian National Congress,"3,88,255","2,51,522",0.648
1967,Nowrangpur,308,ST,Orissa,K. Pradhani,Indian National Congress,"4,77,248","1,23,545",0.259
1967,Ongole,15,GEN,Andhra Pradesh,K. Jaggaiah,Indian National Congress,"5,38,338","4,07,047",0.756
1967,Osmanabad,256,GEN,Maharashtra,T. A. Patil,Indian National Congress,"5,11,526","3,42,503",0.67
1967,Outer Delhi,502,GEN,Delhi,B. Parkash,Indian National Congress,"2,58,107","1,76,794",0.685
1967,Outer Manipur,517,ST,Manipur,P. Haokip,Independent,"2,19,554","1,20,008",0.547
1967,Padrauna,392,GEN,Uttar Pradesh and Uttarakhand,K. N. Pandey,Indian National Congress,"5,05,919","2,63,411",0.521
1967,Palamau,108,SC,Uttar PradeBihar,K. Kumari,Indian National Congress,"5,04,969","2,25,069",0.446
1967,Palghat,484,GEN,Kerala,E. K. Nayanar,Communist Party Of India MARXIST,"4,65,825","2,85,472",0.613
1967,Pali,348,GEN,Rajasthan,S. K. Tapuriah,Swatantra,"5,41,982","3,11,909",0.576
1967,Pandharpur,258,SC,Maharashtra,T. H. Sonavane,Indian National Congress,"4,88,018","3,33,717",0.684
1967,Panjim,507,GEN,"Goa, Daman And Diu",S. J. Jaganath,Independent,"2,01,856","1,44,891",0.718
1967,Parbhani,252,GEN,Maharashtra,S. S. Deshmukh,Indian National Congress,"5,16,182","2,58,437",0.501
1967,Parvathipuram,2,ST,Andhra Pradesh,V.N. Rao,Swatantra,"5,00,375","3,07,954",0.615
1967,Patan,120,SC,Gujarat,D.R. Parmar,Swatantra,"4,85,424","3,18,131",0.655
1967,Patiala,327,GEN,Punjab,M. Kaur,Indian National Congress,"4,60,603","3,32,533",0.722
1967,Patna,90,GEN,Uttar PradeBihar,R. A. Shastri,Communist Party Of India,"5,26,885","3,27,555",0.622
1967,Peddapalli,36,SC,Andhra Pradesh,M.R. Krishna,Indian National Congress,"4,97,627","3,12,320",0.628
1967,Peermade,489,GEN,Kerala,P. K. V. Nair,Communist Party Of India,"4,49,574","3,21,043",0.714
1967,Perambalur,211,SC,Madras,A. Durairasu,Dravida Munetra Kazhagam,"5,37,811","4,39,321",0.817
1967,Periyakulam,206,GEN,Madras,H. Ajmalkhan,Swatantra,"5,40,711","4,17,928",0.773
1967,Phillaur,324,SC,Punjab,S. Ram,Indian National Congress,"4,81,616","3,49,046",0.725
1967,Phulbani,310,SC,Orissa,A. Dipa,Swatantra,"4,68,645","1,47,798",0.315
1967,Phulpur,407,GEN,Uttar Pradesh and Uttarakhand,V. L. Pandit,Indian National Congress,"4,83,204","2,37,650",0.492
1967,Pilibhit,364,GEN,Uttar Pradesh and Uttarakhand,M. Swaroop,Praja Socialist Party,"4,99,546","2,66,993",0.535
1967,Pollachi,203,GEN,Madras,Narayanan,Dravida Munetra Kazhagam,"5,49,500","4,21,464",0.767
1967,Pondicherry,518,GEN,Pondicherry,N. Sethuraman,Indian National Congress,"2,16,689","1,62,193",0.749
1967,Ponnani,483,SC,Kerala,C. K. Chakrapani,Communist Party Of India MARXIST,"4,41,611","2,78,696",0.631
1967,Poona,262,GEN,Maharashtra,S. M. Joshi,Samyukta Socialist Party,"4,37,596","3,04,742",0.696
1967,Pratapgarh,375,GEN,Uttar Pradesh and Uttarakhand,R. D. Singh,Indian National Congress,"4,84,834","2,27,396",0.469
1967,Pudukkottai,212,GEN,Madras,R. Umanath,Communist Party Of India MARXIST,"5,37,531","4,27,795",0.796
1967,Pupari,67,GEN,Uttar PradeBihar,S. P. Sahu,Indian National Congress,"5,69,060","3,45,346",0.607
1967,Puri,303,GEN,Orissa,R. Ray,Samyukta Socialist Party,"5,20,581","2,56,875",0.493
1967,Purnea,77,GEN,Uttar PradeBihar,P. G. S. Gupta,Indian National Congress,"4,89,476","2,50,487",0.512
1967,Purulia,469,GEN,West Bengal,B. Mahato,Independent,"5,14,651","2,80,923",0.546
1967,Quilon,494,GEN,Kerala,N.S. Nair,Independent,"4,59,508","3,71,498",0.809
1967,Rae Bareli,374,GEN,Uttar Pradesh and Uttarakhand,I. N. Gandhi,Indian National Congress,"4,79,640","2,72,736",0.569
1967,Raichur,271,GEN,Mysore,R. V. Naik,Swatantra,"4,95,088","2,35,984",0.477
1967,Raiganj,441,GEN,West Bengal,C. K. Bhattacharyya,Indian National Congress,"4,87,220","2,76,115",0.567
1967,Raigarh,158,ST,Uttar Pradesh and Chhattisgarh,R. Gandha,Indian National Congress,"5,04,247","2,51,730",0.499
1967,Raipur,162,GEN,Uttar Pradesh and Chhattisgarh,L. Gupta,Indian National Congress,"5,38,719","2,95,774",0.549
1967,Rajahmundry,8,GEN,Andhra Pradesh,D.S. Raju,Indian National Congress,"5,30,740","4,10,324",0.773
1967,Rajampet,22,GEN,Andhra Pradesh,P. Parthasarathy,Indian National Congress,"5,18,951","3,74,210",0.721
1967,Rajapur,224,GEN,Maharashtra,N. B. Pai,Praja Socialist Party,"3,96,063","2,35,909",0.596
1967,Rajkot,111,GEN,Gujarat,M.R. Masani,Swatantra,"4,60,286","2,88,480",0.627
1967,Rajmahal,79,ST,Uttar PradeBihar,I. Marandi,Indian National Congress,"4,54,582","1,56,295",0.344
1967,Rajnandgaon,166,GEN,Uttar Pradesh and Chhattisgarh,P. Devi,Indian National Congress,"5,12,194","2,71,482",0.53
1967,Ramanathapuram,218,GEN,Madras,M. Sheriff,Independent,"5,26,959","3,95,457",0.751
1967,Rampur,360,GEN,Uttar Pradesh and Uttarakhand,N. S. Z. A. Khan,Swatantra,"4,99,114","3,35,197",0.672
1967,Ramsanehighat,380,SC,Uttar Pradesh and Uttarakhand,B. Kureel,Indian National Congress,"4,90,633","2,29,552",0.468
1967,Ramtek,243,GEN,Maharashtra,A. G. Sonar,Indian National Congress,"5,08,935","3,54,511",0.697
1967,Ranchi,103,GEN,Uttar PradeBihar,P. K. Ghosh,Indian National Congress,"4,65,018","1,81,946",0.391
1967,Ratnagiri,225,GEN,Maharashtra,S. Mukherjee,Indian National Congress,"4,51,201","2,75,868",0.611
1967,Rewa,154,GEN,Uttar Pradesh and Chhattisgarh,S.N. Shukla,Indian National Congress,"5,59,625","3,39,588",0.607
1967,Robertsganj,405,SC,Uttar Pradesh and Uttarakhand,R. Swarup,Indian National Congress,"5,00,334","2,47,604",0.495
1967,Rohtak,136,GEN,Haryana,R. Singh,Indian National Congress,"4,77,706","3,62,943",0.76
1967,Rosera,72,SC,Uttar PradeBihar,K. Paswan,Samyukta Socialist Party,"5,10,872","2,92,428",0.572
1967,Rupar,326,SC,Punjab,B. Singh,Indian National Congress,"4,75,396","3,48,741",0.734
1967,Sabarkantha,122,GEN,Gujarat,C.C. Desai,Swatantra,"4,15,763","2,76,327",0.665
1967,Sagar,171,SC,Uttar Pradesh and Chhattisgarh,Ramsingh,Bhartiya Jan Sangh,"4,96,617","2,60,318",0.524
1967,Saharanpur,436,SC,Uttar Pradesh and Uttarakhand,S. Lal,Indian National Congress,"5,06,832","3,26,163",0.644
1967,Saharsa,73,GEN,Uttar PradeBihar,G. Thakur,Samyukta Socialist Party,"5,35,539","3,23,072",0.603
1967,Saidpur,401,SC,Uttar Pradesh and Uttarakhand,S. Nath,Indian National Congress,"5,16,279","2,70,057",0.523
1967,Salem,198,GEN,Madras,K. Rajaram,Dravida Munetra Kazhagam,"5,20,373","3,93,435",0.756
1967,Salempur,394,GEN,Uttar Pradesh and Uttarakhand,V. Pandey,Indian National Congress,"5,15,742","2,79,698",0.542
1967,Samastipur,70,GEN,Uttar PradeBihar,Y. P. Mandal,Indian National Congress,"5,32,604","3,24,023",0.608
1967,Sambalpur,312,GEN,Orissa,S. Supakar,Indian National Congress,"5,33,170","2,05,646",0.386
1967,Sangli,266,GEN,Maharashtra,S. D. Patil,Indian National Congress,"5,06,419","3,59,507",0.71
1967,Sangrur,328,GEN,Punjab,N. Kaur,Akali Dal - Sant Fateh Singh Group,"4,72,029","3,35,192",0.71
1967,Sasaram,94,SC,Uttar PradeBihar,J. Ram,Indian National Congress,"5,35,908","2,91,181",0.543
1967,Satara,264,GEN,Maharashtra,Y. B. Chavan,Indian National Congress,"4,59,120","3,17,231",0.691
1967,Satna,153,GEN,Uttar Pradesh and Chhattisgarh,D.V. Singh,Indian National Congress,"5,25,827","2,85,917",0.544
1967,Sawai Madhopur,339,ST,Rajasthan,M. Lal,Swatantra,"5,43,899","2,74,924",0.506
1967,Secunderabad,31,GEN,Andhra Pradesh,B. A. Mirza,Indian National Congress,"4,66,291","2,41,660",0.518
1967,Serampore,461,GEN,West Bengal,B. Ghosh,Indian National Congress,"5,06,446","3,74,672",0.74
1967,Shahabad,91,GEN,Uttar PradeBihar,B. Bhagat,Indian National Congress,"5,53,603","3,11,639",0.563
1967,Shahabad,367,GEN,Uttar Pradesh and Uttarakhand,J. B. Singh,Bhartiya Jan Sangh,"5,10,622","2,66,247",0.521
1967,Shahdol,155,ST,Uttar Pradesh and Chhattisgarh,G. Kumari,Indian National Congress,"4,71,957","1,91,246",0.405
1967,Shahjahanpur,365,GEN,Uttar Pradesh and Uttarakhand,P. K. Khanna,Indian National Congress,"5,15,295","2,57,201",0.499
1967,Shahjapur,177,GEN,Uttar Pradesh and Chhattisgarh,P. Baboorao,Bhartiya Jan Sangh,"5,03,266","2,89,381",0.575
1967,Shimoga,288,GEN,Mysore,J. H. Patel,Samyukta Socialist Party,"4,66,047","3,09,326",0.664
1967,Sholapur,257,GEN,Maharashtra,S. F. Damani,Indian National Congress,"4,45,183","2,86,454",0.644
1967,Siddipet,32,SC,Andhra Pradesh,G. Venkatswamy,Indian National Congress,"4,89,114","3,22,462",0.659
1967,Sidhi,156,GEN,Uttar Pradesh and Chhattisgarh,B.P. Singh,Indian National Congress,"5,19,407","2,52,241",0.486
1967,Sikar,333,GEN,Rajasthan,S. Saboo,Bhartiya Jan Sangh,"6,07,264","3,82,686",0.63
1967,Simla,510,SC,Himachal Pradesh,P. Singh,Indian National Congress,"2,53,012","1,35,164",0.534
1967,Singhbhum,105,ST,Uttar PradeBihar,K. Birua,Independent,"4,88,906","1,43,332",0.293
1967,Sirsa,141,SC,Haryana,D. Singh,Indian National Congress,"5,07,661","3,65,218",0.719
1967,Sitamarhi,66,GEN,Uttar PradeBihar,N.P. Yadav,Indian National Congress,"5,64,690","3,75,492",0.665
1967,Sitapur,368,GEN,Uttar Pradesh and Uttarakhand,S. Nand,Bhartiya Jan Sangh,"5,09,509","2,72,222",0.534
1967,Sivaganga,217,GEN,Madras,Kiruttinan,Dravida Munetra Kazhagam,"5,54,582","4,38,305",0.79
1967,Sivakasi,219,GEN,Madras,P. Ramamoorthy,Swatantra,"5,25,365","4,23,918",0.807
1967,Siwan,60,GEN,Uttar PradeBihar,M. Yusuf,Indian National Congress,"5,53,081","2,58,446",0.467
1967,South Delhi,501,GEN,Delhi,B. Madhok,Bhartiya Jan Sangh,"2,98,699","2,00,365",0.671
1967,Srikakulam,1,GEN,Andhra Pradesh,G. Latchanna,Swatantra,"4,90,667","3,49,154",0.712
1967,Srinagar,143,GEN,Jammu & Kashmir,B.G. Mohamad,Jammu & Kashmir National Conference,"3,54,364","1,31,997",0.373
1967,Sriperumbudur,187,SC,Madras,P. Sivasankaran,Dravida Munetra Kazhagam,"5,95,157","4,59,827",0.773
1967,Sultanpur,377,GEN,Uttar Pradesh and Uttarakhand,G. Sahai,Indian National Congress,"5,27,773","2,35,108",0.446
1967,Sundargarh,313,ST,Orissa,D. Amat,Swatantra,"4,78,738","2,17,211",0.454
1967,Surat,130,GEN,Gujarat,M.R. Desai,Indian National Congress,"4,22,138","2,60,765",0.618
1967,Surendranagar,110,GEN,Gujarat,Meghrajji,Swatantra,"4,50,551","2,84,560",0.632
1967,Surguja,157,ST,Uttar Pradesh and Chhattisgarh,B. Singh,Indian National Congress,"4,39,322","1,62,101",0.369
1967,Tamluk,465,GEN,West Bengal,S. C. Samanta,Bangla Congress,"5,15,415","4,16,203",0.808
1967,Tarn Taran,319,GEN,Punjab,G.S. Dhillon,Indian National Congress,"5,42,288","3,62,554",0.669
1967,Tehri Garhwal,353,GEN,Uttar Pradesh and Uttarakhand,M. M. Shah,Indian National Congress,"4,62,166","1,71,159",0.37
1967,Telli Cherry,479,GEN,Kerala,P. Gopalan,Communist Party Of India MARXIST,"4,75,141","3,68,285",0.775
1967,Tenkasi,221,SC,Madras,R. S. Arumugam,Indian National Congress,"5,35,903","4,15,332",0.775
1967,Tezpur,50,GEN,Assam,B. C. Bhagavati,Indian National Congress,"3,86,826","2,44,275",0.632
1967,Thanjavur,216,GEN,Madras,D.S. Gopalar,Dravida Munetra Kazhagam,"5,21,430","4,40,409",0.845
1967,Tikamgarh,152,SC,Uttar Pradesh and Chhattisgarh,N. Ram,Indian National Congress,"5,41,011","2,93,115",0.542
1967,Tindivanam,193,GEN,Madras,T. D. R. Naidu,Dravida Munetra Kazhagam,"5,47,024","4,19,246",0.766
1967,Tiruchendur,222,GEN,Madras,Santosham,Swatantra,"5,48,835","3,99,984",0.729
1967,Tiruchengode,200,GEN,Madras,K. Anbazhagan,Dravida Munetra Kazhagam,"5,73,903","4,30,625",0.75
1967,Tiruchirapalli,210,GEN,Madras,K. A. Nambiar,Communist Party Of India MARXIST,"5,37,064","4,13,935",0.771
1967,Tirunelveli,220,GEN,Madras,S. Xavier,Swatantra,"5,43,945","4,01,066",0.737
1967,Tirupathi,20,SC,Andhra Pradesh,C. Dass,Indian National Congress,"5,42,125","3,92,936",0.725
1967,Tirupattur,191,GEN,Madras,R. M. Gounder,Dravida Munetra Kazhagam,"4,78,183","3,58,100",0.749
1967,Tiruttani,189,GEN,Madras,S. K. Sambandhan,Dravida Munetra Kazhagam,"5,38,610","4,22,500",0.784
1967,Tonk,341,SC,Rajasthan,J. Lal,Swatantra,"4,84,116","3,03,984",0.628
1967,Trichur,485,GEN,Kerala,C. Janardhanan,Communist Party Of India,"4,58,629","3,71,210",0.809
1967,Tripura East,520,ST,Tripura,S. M. M. K. B. K. D .Bahadur,Indian National Congress,"3,05,672","2,26,756",0.742
1967,Tripura West,519,GEN,Tripura,J. K. Choudhury,Indian National Congress,"2,96,292","2,23,765",0.755
1967,Trivandrum,496,GEN,Kerala,P. Viswambharan,Samyukta Socialist Party,"4,57,981","3,22,711",0.705
1967,Tumkur,275,GEN,Mysore,K. Lakkappa,Praja Socialist Party,"4,46,612","2,82,424",0.632
1967,Udaipur,345,ST,Rajasthan,Dhuleshwar,Indian National Congress,"5,29,320","3,09,849",0.585
1967,Udhampur,146,GEN,Jammu & Kashmir,G.S. Brigadier,Indian National Congress,"4,18,795","2,53,797",0.606
1967,Udipi,285,GEN,Mysore,J. M. L. Prabhu,Swatantra,"4,54,974","3,07,257",0.675
1967,Ujjain,178,SC,Uttar Pradesh and Chhattisgarh,Hukumchand,Bhartiya Jan Sangh,"4,98,856","3,31,094",0.664
1967,Uluberia,460,GEN,West Bengal,J. K. Mondal,Indian National Congress,"5,16,638","3,81,423",0.738
1967,Unnao,373,GEN,Uttar Pradesh and Uttarakhand,K. Dev,Indian National Congress,"5,16,659","2,49,182",0.482
1967,Varanasi,404,GEN,Uttar Pradesh and Uttarakhand,S. N. Singh,Communist Party Of India MARXIST,"4,95,870","2,94,664",0.594
1967,Vellore,190,SC,Madras,Kuchelar,Dravida Munetra Kazhagam,"5,04,140","3,79,272",0.752
1967,Vidisha,176,GEN,Uttar Pradesh and Chhattisgarh,S. Sharma,Bhartiya Jan Sangh,"5,08,603","2,91,220",0.573
1967,Vijayawada,13,GEN,Andhra Pradesh,K.L. Rao,Indian National Congress,"5,22,116",0,0
1967,Visakhapatnam,4,GEN,Andhra Pradesh,T. Viswanatham,Independent,"5,23,617","3,40,717",0.651
1967,Vishnupur,471,SC,West Bengal,P. Mondal,Indian National Congress,"5,20,033","3,15,034",0.606
1967,Wandiwash,192,GEN,Madras,G. Viswanathan,Dravida Munetra Kazhagam,"5,23,306","4,03,205",0.771
1967,Warangal,38,GEN,Andhra Pradesh,R. S. Reddy.,Indian National Congress,"5,22,827","3,61,830",0.692
1967,Wardha,248,GEN,Maharashtra,K. J. Bajaj,Indian National Congress,"5,32,594","3,83,123",0.719
1967,Yeotmal,249,GEN,Maharashtra,D. S. Patil,Indian National Congress,"4,83,231","3,70,703",0.767
1971,A And N Islands,501,GEN,Andaman & Nicobar Islands,K .R. Ganesh,Indian National Congress,"63,122","44,531",0.706
1971,Adilabad,35,GEN,Andhra Pradesh,P. Ganga Reddy,Indian National Congress,"5,14,876","3,03,280",0.589
1971,Adoor,163,SC,Kerala,K. Bhargavi,Communist Party Of India,"5,09,646","3,12,726",0.614
1971,Agra,444,GEN,Uttar Pradesh and Uttarakhand,Achal Singh,Indian National Congress,"5,27,702","2,76,006",0.523
1971,Ahmedabad,117,GEN,Gujarat,Indulal Kanaiyalal Yagnik,Indian National Congress,"4,96,387","3,41,898",0.689
1971,Ahmednagar,239,GEN,Maharashtra,Annasaheb Pandurang Shinde,Indian National Congress,"5,00,698","2,88,234",0.576
1971,Ajmer,320,GEN,Rajasthan,Bashweshwar Nath Bhargava,Indian National Congress,"5,23,158","2,71,172",0.518
1971,Akbarpur,397,SC,Uttar Pradesh and Uttarakhand,Ramji Ram,Indian National Congress,"5,46,312","2,23,450",0.409
1971,Akola,221,GEN,Maharashtra,K. M. Asgar Hussain Sardarkhan,Indian National Congress,"5,40,873","3,78,199",0.699
1971,Aligarh,447,GEN,Uttar Pradesh and Uttarakhand,Shive Kumar Shastri,Bharatiya Kranti Dal,"5,49,807","3,37,033",0.613
1971,Alipore,473,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,"6,42,566","3,68,717",0.574
1971,Allahabad,427,GEN,Uttar Pradesh and Uttarakhand,Hemwate Nadan Bahuguna,Indian National Congress,"5,37,652","2,50,213",0.465
1971,Almora,374,GEN,Uttar Pradesh and Uttarakhand,Narendra Singh,Indian National Congress,"4,83,252","1,39,400",0.289
1971,Alwar,316,GEN,Rajasthan,Hari Prasad,Indian National Congress,"5,63,533","3,23,049",0.573
1971,Amalapuram,9,SC,Andhra Pradesh,B. S. Murthy,Indian National Congress,"5,62,612","3,75,509",0.667
1971,Ambala,133,SC,Haryana,Ram Prakash,Indian National Congress,"4,90,572","2,95,410",0.602
1971,Ambalapuzha,161,GEN,Kerala,K. Balakrishnan,Revolutionary Socialist Party,"5,27,204","4,08,735",0.775
1971,Amethi,395,GEN,Uttar Pradesh and Uttarakhand,Vidya Dhar Bajpai,Indian National Congress,"5,33,697","1,60,395",0.301
1971,Amravati,222,GEN,Maharashtra,Krishna Gulab Deshmukh,Indian National Congress,"5,39,897","3,60,442",0.668
1971,Amreli,114,GEN,Gujarat,Jivraj Narayan Mehta,Indian National Congress,"4,77,113","2,37,991",0.499
1971,Amritsar,300,GEN,Punjab,Durga Das Bhatia,Indian National Congress,"5,12,028","3,46,287",0.676
1971,Amroha,377,GEN,Uttar Pradesh and Uttarakhand,Ishaque Sambhali,Communist Party Of India,"5,36,743","2,76,017",0.514
1971,Anakapalli,6,GEN,Andhra Pradesh,S. R. A. S. Appaluanidu,Indian National Congress,"5,55,995","3,22,402",0.58
1971,Anand,126,GEN,Gujarat,Pravinsinhji Natvarsinhji Solanki,Indian National Congress ORGANISATION,"4,91,986","3,11,604",0.633
1971,Anantapur,25,GEN,Andhra Pradesh,Antony Reddi Ponnapati,Indian National Congress,"5,48,876","3,28,632",0.599
1971,Anantnag,144,GEN,Jammu & Kashmir,Mohmad Shaffi Qureshi,Indian National Congress,"3,93,878","2,64,867",0.673
1971,Angul,296,GEN,Orissa,Pratap Gangadebbad Kumar,Indian National Congress,"5,29,706","1,75,752",0.332
1971,Aonla,381,GEN,Uttar Pradesh and Uttarakhand,Savitri Shyam,Indian National Congress,"5,49,804","2,33,418",0.425
1971,Arambagh,482,GEN,West Bengal,Manoranjan Hazra,Communist Party Of India MARXIST,"5,23,073","3,54,073",0.677
1971,Araria,75,SC,Uttar PradeBihar,Tul Mohan Ram,Indian National Congress,"5,27,567","2,06,878",0.392
1971,Asansol,492,GEN,West Bengal,Robin Sen,Communist Party Of India MARXIST,"5,42,914","2,80,338",0.516
1971,Aurangabad,95,GEN,Uttar PradeBihar,Satyendra Narayan Sinha,Indian National Congress ORGANISATION,"6,09,643","3,61,216",0.593
1971,Aurangabad,234,GEN,Maharashtra,Manik Rao Palodkar,Indian National Congress,"5,30,926","2,79,390",0.526
1971,Ausgram,491,SC,West Bengal,Halder Krishna Chandra,Communist Party Of India MARXIST,"6,29,094","3,63,981",0.579
1971,Autonomous Districts,44,ST,Assam,G. G. Swell,All Party Hill Leaders Conference,"4,18,700","1,83,301",0.438
1971,Azamgarh,416,GEN,Uttar Pradesh and Uttarakhand,Chandrajeet,Indian National Congress,"5,57,014","2,53,775",0.456
1971,Badagara,150,GEN,Kerala,K. P. Unnikrishnan,Indian National Congress,"5,66,738","3,80,037",0.671
1971,Bagaha,56,SC,Uttar PradeBihar,Bhola Raut,Indian National Congress,"5,44,044","2,00,220",0.368
1971,Bagalkot,274,GEN,Mysore,Sanganagouda Basanagouda Patil,Indian National Congress,"4,88,440","2,99,677",0.614
1971,Baghpat,452,GEN,Uttar Pradesh and Uttarakhand,Ram Chandra Vikal,Indian National Congress,"5,51,746","3,40,780",0.618
1971,Bahraich,402,GEN,Uttar Pradesh and Uttarakhand,Badlu Ram,Indian National Congress,"5,20,211","1,76,313",0.339
1971,Balaghat,186,GEN,Uttar Pradesh and Chhattisgarh,Chintaman Rao Gautam,Indian National Congress,"4,82,981","2,29,210",0.475
1971,Balasore,278,GEN,Orissa,Shyamsundar Mohapatra,Indian National Congress,"5,24,558","2,72,407",0.519
1971,Ballia,414,GEN,Uttar Pradesh and Uttarakhand,Chandrika Prasad,Indian National Congress,"5,76,082","2,63,023",0.457
1971,Balrampur,403,GEN,Uttar Pradesh and Uttarakhand,Chandra Bhal Mani Tewari,Indian National Congress,"5,68,985","2,49,265",0.438
1971,Balurghat,461,SC,West Bengal,Rasendra Nath Barman,Indian National Congress,"4,96,362","3,49,541",0.704
1971,Banaskantha,121,GEN,Gujarat,Popatlal M. Joshi,Indian National Congress,"4,71,796","2,33,765",0.496
1971,Banda,430,GEN,Uttar Pradesh and Uttarakhand,Ram Ratan Sharma,Bhartiya Jan Sangh,"5,58,639","2,28,655",0.409
1971,Bangalore,259,GEN,Mysore,K. Hanumanthaiya,Indian National Congress,"6,25,147","2,82,994",0.453
1971,Banka,82,GEN,Uttar PradeBihar,Shiv Chandika Prasad,Indian National Congress,"5,59,147","2,75,068",0.492
1971,Bankura,489,GEN,West Bengal,Sankar Narayan Singh Deo,Indian National Congress,"5,45,829","2,62,110",0.48
1971,Bansgaon,408,SC,Uttar Pradesh and Uttarakhand,Ram Surat,Indian National Congress,"5,38,583","1,76,733",0.328
1971,Banswara,324,ST,Rajasthan,Hiralal,Indian National Congress,"5,23,521","2,97,854",0.569
1971,Bara Banki,400,GEN,Uttar Pradesh and Uttarakhand,Kunwar Rudra Pratap Singh,Indian National Congress,"5,68,434","2,65,580",0.467
1971,Baramati,243,GEN,Maharashtra,Raghunath Keshav Khadilkar,Indian National Congress,"4,82,816","2,67,635",0.554
1971,Baramulla,142,GEN,Jammu & Kashmir,Syed Ahmad Aga,Indian National Congress,"3,70,345","1,87,484",0.506
1971,Barasat,468,GEN,West Bengal,Ranendra Nath Sen,Communist Party Of India,"5,45,889","3,49,894",0.641
1971,Bareilly,382,GEN,Uttar Pradesh and Uttarakhand,Satish Chandra,Indian National Congress,"4,89,846","2,28,779",0.467
1971,Barh,89,GEN,Uttar PradeBihar,Dharamvir Singh,Indian National Congress,"6,35,516","3,88,724",0.612
1971,Barmer,330,GEN,Rajasthan,Amrit Nahata,Indian National Congress,"5,68,740","3,06,722",0.539
1971,Baroda,127,GEN,Gujarat,Fatesinhrao Pratap Sinhrao,Indian National Congress ORGANISATION,"4,82,587","2,75,882",0.572
1971,Barpeta,47,GEN,Assam,Fakhruddin Ali Ahmed,Indian National Congress,"4,67,766","2,98,728",0.639
1971,Barrackpore,474,GEN,West Bengal,Md. Ismail,Communist Party Of India MARXIST,"7,60,565","5,22,103",0.687
1971,Basirhat,469,GEN,West Bengal,A. K. M. Ishaque,Indian National Congress,"5,37,387","3,23,367",0.602
1971,Bastar,183,ST,Uttar Pradesh and Chhattisgarh,Lambodar Baliyar,Independent,"4,79,049","2,31,926",0.484
1971,Basti,405,SC,Uttar Pradesh and Uttarakhand,Anant Prasad Dhusia,Indian National Congress,"5,14,908","1,87,741",0.365
1971,Begusarai,87,GEN,Uttar PradeBihar,Shyamnandan Mishra,Indian National Congress ORGANISATION,"6,28,724","3,57,545",0.569
1971,Belgaum,272,GEN,Mysore,Kotrasetti Appaya Karavirappa,Indian National Congress,"5,06,598","2,78,171",0.549
1971,Bellary,253,GEN,Mysore,V. K. R. V. Rao,Indian National Congress,"5,30,510","3,32,265",0.626
1971,Berhampore,465,GEN,West Bengal,Tridib Choudhuri,Revolutionary Socialist Party,"5,38,838","3,12,302",0.58
1971,Bettiah,58,GEN,Uttar PradeBihar,Kamal Nath Tiwari,Indian National Congress,"5,49,914","2,04,520",0.372
1971,Betul,192,GEN,Uttar Pradesh and Chhattisgarh,Narendra Kuma Salve,Indian National Congress,"5,34,493","2,39,265",0.448
1971,Bhadrachalam,5,ST,Andhra Pradesh,B. Radhabai Ananda Rao,Indian National Congress,"5,01,947","2,05,533",0.41
1971,Bhadrak,279,SC,Orissa,Arjun Sethi,Indian National Congress,"6,01,170","3,29,173",0.548
1971,Bhagalpur,83,GEN,Uttar PradeBihar,Bhagwat Jha Azad,Indian National Congress,"6,06,019","3,21,834",0.531
1971,Bhandara,225,GEN,Maharashtra,Vishmbhardas Jwalaprasadji Dube,Indian National Congress,"5,46,280","3,30,548",0.605
1971,Bhanjanagar,285,GEN,Orissa,Dutikrishna Panda,Communist Party Of India,"5,60,369","2,55,729",0.456
1971,Bharatpur,317,GEN,Rajasthan,Raj Bahadur,Indian National Congress,"5,70,873","3,46,258",0.607
